0,1,2,3,4,5,6,7,8,9,10,11,12,label
-298.79346,37.60207,-17.197086,8.085357,11.658469,-6.5482507,-31.248451,0.4935461,-14.871519,-13.423318,-11.704049,-12.512958,-11.294581,happy
-299.93082,68.923904,-10.964598,14.156564,14.714595,-6.059048,-0.45022985,0.3032134,-16.998222,1.2132983,-11.343623,-7.630558,-11.554782,happy
-296.39282,59.078094,5.806193,22.378414,16.39116,10.37819,-9.576915,-7.19095,-2.816382,-2.5650558,-9.140458,-1.028891,-6.040751,happy
-290.0162,58.095634,-46.378525,21.503096,-2.0633357,-16.98215,-10.80597,-30.12649,-7.8644466,-15.473533,-10.5100355,3.2481272,-14.851107,happy
-288.4685,73.11917,-40.139206,8.35012,3.7217448,-16.351849,-10.776925,-5.976166,-15.460461,-4.4422655,-19.193218,0.90973914,-12.6444235,happy
-318.19946,73.98573,-17.839611,18.048069,17.288303,6.62774,-16.34826,3.7979465,-8.554977,-13.419359,2.0193908,-13.259524,-5.0515985,happy
-313.7762,59.175583,-35.87234,17.75674,-2.9899013,-21.452757,-1.8744953,-10.798046,-12.063755,-10.019639,-21.410645,0.30994928,-22.607054,happy
-274.02527,62.427353,-9.756955,6.567002,1.2348263,-15.4036045,-8.483114,-1.6112475,-10.936312,-7.8498774,-12.077847,-1.2989258,-12.112353,happy
-335.202,52.576385,26.138636,22.85346,22.00484,-1.3872252,-30.197716,-1.8257437,-17.799356,-12.956671,-8.020278,-11.150369,-5.541377,sad
-316.93036,73.72106,1.298117,36.93372,22.46098,-5.9913464,3.220772,-2.8355286,-15.487985,4.0787945,-15.593304,-8.78166,-7.3378735,sad
-297.60596,63.681606,15.083028,30.763678,25.144297,15.281673,-5.948443,-4.2807264,-2.2069032,3.9523902,-10.655042,-1.5845916,-3.5745602,sad
-331.96533,62.32633,-16.34126,20.238483,2.713586,-11.455521,-7.1061463,-12.694701,-10.126175,-19.226967,-1.036178,1.5531975,-7.8590674,sad
-299.89706,74.743614,-23.965952,24.077644,-5.6035004,-16.5075,-6.46878,-12.072078,-7.122824,-15.369609,-19.660976,0.10357261,-13.570819,sad
-343.2784,72.207344,-2.5436935,30.467999,25.892128,6.820954,-15.179937,6.277893,-12.435034,-9.798179,-3.2854104,-17.178658,-2.354727,sad
-360.55682,69.277985,-22.326477,31.52438,4.4450717,-19.859383,-5.7023783,-9.803549,-12.455698,-14.895607,-22.555677,2.8752406,-18.572649,sad
-247.48,70.91209,5.5344725,21.827637,7.1005707,-15.980032,-5.5661583,-0.9106344,-13.185598,-10.667898,-18.306353,-1.3260591,-12.2608385,sad
-256.31274,53.53205,-2.2165468,-1.1924137,5.610241,-4.1501365,-32.45295,-2.9930425,-17.01793,-14.7258835,-12.447748,-15.7994,-10.368183,angry
-305.05847,73.607956,-12.481273,12.366764,7.448184,-9.155214,3.1114905,1.4010522,-17.701885,-0.5012858,-8.518811,-4.9499335,-12.715798,angry
-277.98117,60.391655,13.997259,16.08837,8.612208,13.379432,-4.852916,-5.689371,-4.516489,-1.9045713,-10.138373,-3.4765778,-3.4979897,angry
-284.33698,53.58251,-25.548067,9.434035,-5.6182556,-11.904769,-1.7560713,-22.496101,-11.576091,-9.882868,-2.9035032,7.3575315,-9.3934965,angry
-282.26602,83.97601,-32.17724,3.958807,-4.8605843,-11.361175,-9.662987,-13.210682,-9.440426,-5.1698637,-19.718857,-0.17890304,-10.494934,angry
-286.3631,82.32248,-9.022858,14.348402,12.515767,-2.2904139,-11.15094,8.106689,-20.13556,-6.410419,2.0300088,-11.9100685,-5.0817404,angry
-339.80017,59.71125,-22.150608,9.902252,-10.433816,-18.11146,-8.575153,-13.844625,-13.107043,-8.84004,-21.958708,3.0846145,-22.46384,angry
-219.23358,80.70638,2.9146125,3.665097,1.6210309,-14.130737,-5.2915673,-9.238416,-12.400889,-7.412462,-14.356133,0.63068295,-11.187762,angry
